Treadclimber,CAM29865 SAWADHERETC,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74743354,Online,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74796181,Electronic - UnSourced,Web
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74796182,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74796279,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74796480,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74796580,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74796680,Online Search,Web
Bowflex Catalog,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74796681,Online Search,Web
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74796782,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74796882,Online Search,Web
Treadclimber,CAM40821 1800BOWFLEX,Internal,,9/29/2017,9/25/2017,74796982,Un-Sourced,Call Center Internal
Treadclimber,CAM39441 dosbigl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74796983,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74797084,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74797184,Online Search,Web
Treadclimber,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74797185,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74797589,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74797690,Online Search,Web
Bowflex Max Trainer,CAM44564 dosbiesl4,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74797789,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74797890,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74798091,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74798191,Online Shopping,Web
Bowflex HVT,CAM50802 DODG2HDL2,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74798291,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74798292,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74798391,Online Shopping,Web
Bowflex Home Gyms,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74798392,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74798593,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74798693,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM48360 P0116FAMCIRONSRT,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74798894,Print,Call Center Internal
Treadclimber,CAM48360 P0116FAMCIRONSRT,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74798895,Print,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74798896,Electronic - UnSourced,Web
Results Elliptical,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74798997,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74799099,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,10/13/2017,9/29/2017,9/25/2017,74799100,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50958 DSEHSF17A,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74799398,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74799498,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74799500,Electronic - Short Form,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74799501,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74799598,Electronic - UnSourced,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74799599,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74799698,Online Search,Web
Bowflex Max Trainer,CAM45797 DSEESF14G,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74799798,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74799998,Online Search,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74800098,Electronic - UnSourced,Web
Results Elliptical,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74800099,Online Shopping,Web
Bowflex HVT,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74800100,Online Shopping,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74800198,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74800298,Online Shopping,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74800499,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74800601,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74800701,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74801001,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74801002,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74801101,Online Display,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,Internal,,9/29/2017,9/25/2017,74801202,Online Social,Web
Bowflex Catalog,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74801302,Online Display,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74801405,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74801505,Online Search,Web
Bowflex Brand,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74801506,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,11/9/2017,9/29/2017,9/25/2017,74801706,Online Search,Web
Results Treadmill,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74801707,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74801806,Online Search,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74801906,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74802006,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802206,Electronic - Short Form,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74802207,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802208,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802209,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74802306,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74802307,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74802406,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74802506,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74802507,Electronic - Short Form,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802508,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74802511,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74802513,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802514,Online Search,Web
Bowflex Max Trainer,CAM52197 MOVSN60*M450CTIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74802706,Short Form,Call Center Internal
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802707,Online Display,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802808,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802908,Online Shopping,Web
Bowflex Max Trainer,CAM45910 DODADCEDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74802909,Online Display,Web
Bowflex Brand,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74803009,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74803108,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74803208,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74803412,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74803511,Electronic - UnSourced,Web
Treadclimber,CAM45900 SAWDODADCE,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74803711,Online Display,Call Center Internal
Bowflex Max Trainer,CAM30796 SAWDOSG2G,Internal,,9/29/2017,9/25/2017,74803712,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/29/2017,9/25/2017,74803713,Online Search,Call Center Internal
Bowflex Catalog,CAM50812 DOSG2HSL2,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74803714,Online Search,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74803814,Online Search,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,,9/29/2017,9/25/2017,74803914,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74803916,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74804216,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74804217,Online Search,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74804316,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74804317,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74804318,Online Search,Web
Bowflex Home Gyms,CAM50812 DOSG2HSL2,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74804319,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74804320,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74804516,Online Search,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74804616,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74804617,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74804816,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74804916,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74805017,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805116,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805316,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805416,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74805417,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805418,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805419,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74805516,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805517,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805518,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805616,Online Shopping,Web
Bowflex Home Gyms,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805617,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74805716,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM50802 DODG2HDL2,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74805717,Online Display,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74805816,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74805817,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806016,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806216,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806316,Online Search,Web
Results Treadmill,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806317,Online Search,Web
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806416,Online Search,Web
Bowflex Selecttech Dumbbells,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806616,Online Display,Web
Bowflex UpperCut,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806617,Online Display,Web
Bowflex Catalog,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806618,Online Display,Web
Treadclimber,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806619,Online Display,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806816,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74806817,Online Search,Web
Results Elliptical,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74807016,Online Shopping,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74807316,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74807416,Online Shopping,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74807516,Online Search,Web
Bowflex Selecttech Dumbbells,CAM45538 DODG2DDL2,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74807617,Online Display,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74807716,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74807816,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74807817,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74808016,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74808116,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74808216,Online Search,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74808316,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,11/6/2017,9/30/2017,9/25/2017,74808317,Online Shopping,Web
Results Treadmill,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74808416,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74808616,Online Search,Web
Treadclimber,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74808716,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74808816,Online Search,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,9/30/2017,9/30/2017,9/25/2017,74808916,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74809016,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74809216,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74809316,Online Display,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,9/30/2017,9/30/2017,9/25/2017,74809416,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74809417,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74809516,Online Search,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74809716,Online Display,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74809816,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74809916,Online Display,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,Internal,,9/30/2017,9/25/2017,74810016,Online Social,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74810017,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74810018,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74810019,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM48985 DOSBIESL10,TouchPoint Integrated Communications,11/5/2017,9/30/2017,9/25/2017,74810116,Online Search,Web
Bowflex HVT,CAM50812 DOSG2HSL2,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74810117,Online Search,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74810416,Online Shopping,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74810417,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74810418,Online Search,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,11/3/2017,9/30/2017,9/25/2017,74810516,Online Display,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74810616,Online Display,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74810618,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74810619,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74810716,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74810717,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74811016,Online Search,Web
